lab,title,slug,title_tag,meta_description,keywords,canonical,file
LAB-001,La URL que desaparece,/experimentos/la-url-que-desaparece,La URL que desaparece | Experimento LAB-001,"Cómo evitar que una URL rota destruya contexto y evidencia: redirecciones, archivo web y trazabilidad.","url rota, link rot, redirecciones 301, preservacion web, web archiving",https://laboratoryum.example/experimentos/la-url-que-desaparece,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-001/05-publicacion.md
LAB-002,El enlace sin contexto,/experimentos/el-enlace-sin-contexto,El enlace sin contexto | Experimento LAB-002,"Método para compartir enlaces con contexto y mejorar comprensión, citabilidad y trazabilidad.","enlace sin contexto, compartir links con contexto, citacion web, curacion editorial",https://laboratoryum.example/experimentos/el-enlace-sin-contexto,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-002/05-publicacion.md
LAB-003,El acceso que filtra el conocimiento,/experimentos/el-acceso-que-filtra-el-conocimiento,El acceso que filtra el conocimiento | Experimento LAB-003,Qué se pierde cuando el contenido queda tras login o paywall y cómo reducir ese costo documental.,"paywall y acceso abierto, conocimiento restringido, citabilidad, acceso a fuentes",https://laboratoryum.example/experimentos/el-acceso-que-filtra-el-conocimiento,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-003/05-publicacion.md
LAB-004,La fuente que no se puede verificar,/experimentos/la-fuente-que-no-se-puede-verificar,La fuente que no se puede verificar | Experimento LAB-004,Checklist para convertir afirmaciones en fuentes verificables y auditables.,"fuente verificable, evidencia documental, procedencia de datos, fact checking",https://laboratoryum.example/experimentos/la-fuente-que-no-se-puede-verificar,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-004/05-publicacion.md
LAB-005,El archivo que se rompe con el tiempo,/experimentos/el-archivo-que-se-rompe-con-el-tiempo,El archivo que se rompe con el tiempo | Experimento LAB-005,Protocolo de preservación digital para evitar pérdida de archivos por obsolescencia.,"preservacion digital, formatos obsoletos, durabilidad de archivos, migracion documental",https://laboratoryum.example/experimentos/el-archivo-que-se-rompe-con-el-tiempo,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-005/05-publicacion.md
LAB-006,El agente que cita sin leer,/experimentos/el-agente-que-cita-sin-leer,El agente que cita sin leer | Experimento LAB-006,Errores comunes cuando un agente IA cita sin lectura completa y cómo mitigarlos.,"agente ia cita sin leer, alucinaciones de citacion, retrieval parcial, grounding",https://laboratoryum.example/experimentos/el-agente-que-cita-sin-leer,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-006/05-publicacion.md
LAB-007,La respuesta que no muestra su rastro,/experimentos/la-respuesta-que-no-muestra-su-rastro,La respuesta que no muestra su rastro | Experimento LAB-007,Guía para hacer trazables y auditables respuestas de IA con evidencia verificable.,"trazabilidad de respuestas ia, auditoria de prompts, provenance ai, confianza",https://laboratoryum.example/experimentos/la-respuesta-que-no-muestra-su-rastro,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-007/05-publicacion.md
LAB-008,El contenido que envejece sin aviso,/experimentos/el-contenido-que-envejece-sin-aviso,El contenido que envejece sin aviso | Experimento LAB-008,Sistema de señales de vigencia para evitar decisiones sobre contenido caducado.,"contenido desactualizado, freshness content, fecha de actualizacion, versionado",https://laboratoryum.example/experimentos/el-contenido-que-envejece-sin-aviso,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-008/05-publicacion.md
LAB-009,La versión que reemplaza a la memoria,/experimentos/la-version-que-reemplaza-a-la-memoria,La versión que reemplaza a la memoria | Experimento LAB-009,Cómo preservar historial editorial y contexto al publicar nuevas versiones.,"historial de cambios, versionado editorial, transparencia de edicion, changelog",https://laboratoryum.example/experimentos/la-version-que-reemplaza-a-la-memoria,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-009/05-publicacion.md
LAB-010,La interfaz que oculta el origen,/experimentos/la-interfaz-que-oculta-el-origen,La interfaz que oculta el origen | Experimento LAB-010,Patrones de interfaz para transparentar fuentes y evitar credibilidad artificial.,"ui de confianza, transparencia de fuentes, arquitectura de informacion, microcopy",https://laboratoryum.example/experimentos/la-interfaz-que-oculta-el-origen,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-010/05-publicacion.md
LAB-011,El texto que cambia de autor,/experimentos/el-texto-que-cambia-de-autor,El texto que cambia de autor | Experimento LAB-011,"Protocolo de autoría para textos transformados por IA, edición y traducción.","autoría en textos con ia, reescritura ia, trazabilidad editorial, ghostwriting ai",https://laboratoryum.example/experimentos/el-texto-que-cambia-de-autor,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-011/05-publicacion.md
